ch1_LF5-FpZ,ch2_OTE_L-FpZ,ch3_BE_L-FpZ,ch4_RF6-FpZ,ch5_OTE_R-FpZ,ch6_BE_R-FpZ
-7145.0,298064.0,25926.0,3112.0,303254.0,5376.0
-7146.0,298040.0,22630.0,3114.0,303338.0,7400.0
-7145.0,298062.0,26296.0,3113.0,303249.0,5442.0
-7142.0,298036.0,22460.0,3113.0,303333.0,7356.0
-7141.0,298066.0,26510.0,3106.0,303240.0,5588.0
-7142.0,298030.0,22368.0,3110.0,303332.0,7239.0
-7143.0,298071.0,26612.0,3107.0,303245.0,5792.0
-7145.0,298027.0,22383.0,3112.0,303328.0,7078.0
-7144.0,298080.0,26568.0,3110.0,303246.0,6024.0
-7146.0,298024.0,22515.0,3111.0,303325.0,6869.0
-7140.0,298078.0,26407.0,3108.0,303253.0,6269.0
-7138.0,298023.0,22733.0,3109.0,303316.0,6655.0
-7139.0,298092.0,26049.0,3108.0,303259.0,6560.0
-7143.0,298030.0,22941.0,3113.0,303304.0,6447.0
-7140.0,298084.0,25522.0,3110.0,303273.0,6794.0
-7143.0,298026.0,23335.0,3110.0,303297.0,6183.0
-7143.0,298078.0,25040.0,3107.0,303272.0,6989.0
-7145.0,298029.0,23804.0,3108.0,303284.0,5969.0
-7143.0,298075.0,24445.0,3110.0,303286.0,7215.0
-7148.0,298035.0,24262.0,3116.0,303280.0,5886.0
-7147.0,298071.0,23732.0,3115.0,303296.0,7349.0
-7149.0,298044.0,24735.0,3116.0,303280.0,5852.0
-7147.0,298055.0,23236.0,3115.0,303299.0,7501.0
-7150.0,298052.0,24790.0,3118.0,303268.0,5264.0
-7149.0,298065.0,24176.0,3118.0,303350.0,9484.0
-7151.0,298040.0,24302.0,3114.0,303223.0,4230.0
-7150.0,298063.0,23692.0,3115.0,303363.0,9709.0
-7150.0,298034.0,24326.0,3108.0,303191.0,4072.0
-7149.0,298051.0,23388.0,3110.0,303359.0,9461.0
-7154.0,298032.0,25323.0,3110.0,303207.0,4749.0
-7152.0,298030.0,22313.0,3109.0,303328.0,7949.0
-7150.0,298066.0,25721.0,3105.0,303226.0,5515.0
-7149.0,298036.0,21793.0,3109.0,303327.0,7508.0
-7151.0,298076.0,25667.0,3108.0,303238.0,5971.0
-7150.0,298027.0,21562.0,3110.0,303327.0,7280.0
-7147.0,298083.0,25220.0,3108.0,303250.0,6321.0
-7147.0,298032.0,21298.0,3111.0,303330.0,7072.0
-7147.0,298085.0,24616.0,3109.0,303255.0,6425.0
-7151.0,298026.0,22085.0,3112.0,303314.0,6757.0
-7145.0,298079.0,25629.0,3109.0,303257.0,6360.0
-7144.0,298029.0,25030.0,3111.0,303316.0,6779.0
-7147.0,298048.0,27472.0,3111.0,303239.0,6178.0
-7151.0,298036.0,28192.0,3116.0,303321.0,7024.0
-7152.0,298054.0,30251.0,3113.0,303253.0,8102.0
-7155.0,298024.0,29632.0,3116.0,303273.0,6227.0
-7158.0,298047.0,30942.0,3113.0,303267.0,8863.0
-7158.0,298007.0,30191.0,3111.0,303242.0,5689.0
-7157.0,298026.0,29967.0,3113.0,303268.0,8493.0
-7159.0,298010.0,30891.0,3112.0,303235.0,5969.0
-7155.0,298021.0,29274.0,3113.0,303290.0,8225.0
-7154.0,298014.0,31797.0,3110.0,303222.0,6108.0
-7153.0,298013.0,29371.0,3113.0,303295.0,8337.0
-7157.0,298020.0,32721.0,3111.0,303209.0,6231.0
-7153.0,297996.0,29552.0,3110.0,303290.0,8331.0
-7154.0,298016.0,33375.0,3108.0,303210.0,6391.0
-7153.0,297992.0,29561.0,3110.0,303296.0,8300.0
-7152.0,298030.0,33589.0,3111.0,303210.0,6633.0
-7152.0,297998.0,29361.0,3116.0,303305.0,8274.0
-7153.0,298047.0,33418.0,3114.0,303223.0,6939.0
-7156.0,297998.0,29247.0,3116.0,303300.0,8189.0
-7162.0,298050.0,33290.0,3111.0,303219.0,7220.0
-7158.0,297993.0,29468.0,3115.0,303289.0,8061.0
-7152.0,298051.0,33140.0,3113.0,303225.0,7409.0
-7151.0,297992.0,29951.0,3110.0,303271.0,7854.0
-7152.0,298042.0,33048.0,3106.0,303212.0,7600.0
-7157.0,297983.0,30617.0,3109.0,303266.0,7617.0
-7159.0,298031.0,32965.0,3108.0,303226.0,7780.0
-7164.0,297968.0,31282.0,3109.0,303258.0,7319.0
-7158.0,298022.0,32380.0,3104.0,303232.0,8117.0
-7161.0,297980.0,31223.0,3103.0,303237.0,7076.0
-7158.0,298013.0,31270.0,3100.0,303240.0,8383.0
-7159.0,297981.0,30957.0,3103.0,303224.0,6887.0
-7155.0,298023.0,30014.0,3102.0,303263.0,8558.0
-7155.0,297999.0,31104.0,3100.0,303228.0,6724.0
-7155.0,298004.0,29723.0,3101.0,303276.0,8622.0
-7156.0,297997.0,32013.0,3102.0,303218.0,6523.0
-7155.0,298003.0,29965.0,3106.0,303280.0,8690.0
-7159.0,298008.0,32950.0,3108.0,303205.0,6398.0
-7158.0,298005.0,30248.0,3108.0,303284.0,8827.0
-7157.0,298013.0,33280.0,3104.0,303193.0,6222.0
-7155.0,297995.0,30198.0,3105.0,303292.0,9126.0
-7158.0,298004.0,33105.0,3102.0,303175.0,6062.0
-7160.0,297980.0,30007.0,3103.0,303293.0,8942.0
-7162.0,298001.0,33789.0,3101.0,303178.0,6465.0
-7170.0,297946.0,30144.0,3104.0,303277.0,8488.0
-7165.0,297980.0,34318.0,3102.0,303183.0,6597.0
-7165.0,297951.0,31610.0,3099.0,303302.0,9057.0
-7162.0,297973.0,33831.0,3095.0,303148.0,5576.0
-7166.0,297969.0,31646.0,3102.0,303312.0,8320.0
-7169.0,298000.0,33623.0,3098.0,303160.0,6236.0
-7170.0,297993.0,31239.0,3104.0,303297.0,7901.0
-7167.0,298042.0,32483.0,3098.0,303181.0,6952.0
-7162.0,298037.0,30093.0,3101.0,303280.0,7432.0
-7158.0,298063.0,30598.0,3101.0,303202.0,7609.0
-7160.0,298037.0,28562.0,3108.0,303256.0,6717.0
-7163.0,298070.0,28545.0,3106.0,303217.0,7974.0
-7166.0,298049.0,26910.0,3109.0,303237.0,5860.0
-7160.0,298080.0,26305.0,3107.0,303245.0,8151.0
-7160.0,298053.0,25449.0,3106.0,303209.0,4938.0
-7157.0,298078.0,24664.0,3109.0,303267.0,8324.0
-7167.0,298029.0,24747.0,3114.0,303198.0,4348.0
-7169.0,298038.0,23740.0,3111.0,303279.0,8452.0
-7164.0,298006.0,24920.0,3103.0,303172.0,3936.0
-7160.0,298000.0,22981.0,3103.0,303275.0,7346.0
-7165.0,298013.0,27337.0,3105.0,303205.0,5418.0
-7170.0,297958.0,23546.0,3106.0,303273.0,6658.0
-7169.0,297984.0,28771.0,3105.0,303206.0,5088.0
-7166.0,297937.0,24422.0,3101.0,303267.0,6140.0
-7163.0,297986.0,29538.0,3100.0,303199.0,4860.0
-7170.0,297922.0,25083.0,3103.0,303260.0,5773.0
-7168.0,297985.0,30108.0,3104.0,303206.0,4696.0
-7171.0,297922.0,25889.0,3106.0,303266.0,5469.0
-7163.0,297987.0,30360.0,3100.0,303204.0,4648.0
-7167.0,297916.0,26562.0,3099.0,303248.0,5207.0
-7165.0,297988.0,30319.0,3100.0,303205.0,4769.0
-7168.0,297921.0,27082.0,3103.0,303251.0,5001.0
-7166.0,297989.0,29994.0,3102.0,303211.0,4976.0
-7169.0,297933.0,27689.0,3106.0,303246.0,4847.0
-7168.0,298002.0,29605.0,3103.0,303220.0,5263.0
-7173.0,297951.0,28286.0,3106.0,303241.0,4758.0
-7170.0,298006.0,29016.0,3106.0,303230.0,5595.0
-7174.0,297961.0,28715.0,3107.0,303222.0,4802.0
-7173.0,297998.0,28054.0,3101.0,303228.0,5909.0
-7175.0,297971.0,28978.0,3100.0,303209.0,4953.0
-7172.0,297991.0,27214.0,3099.0,303235.0,6264.0
-7174.0,297996.0,29308.0,3098.0,303208.0,5212.0
-7173.0,298009.0,26383.0,3101.0,303254.0,6670.0
-7173.0,298021.0,29424.0,3103.0,303209.0,5561.0
-7174.0,298011.0,25449.0,3104.0,303258.0,7008.0
-7172.0,298044.0,29175.0,3100.0,303204.0,5875.0
-7172.0,298012.0,24510.0,3102.0,303267.0,7258.0
-7167.0,298053.0,28984.0,3103.0,303221.0,6248.0
-7171.0,298024.0,25016.0,3109.0,303303.0,8323.0
-7167.0,298052.0,29217.0,3109.0,303215.0,6721.0
-7167.0,298003.0,25051.0,3115.0,303304.0,8449.0
-7168.0,298045.0,29136.0,3106.0,303215.0,6839.0
-7170.0,297993.0,25083.0,3107.0,303301.0,8260.0
-7170.0,298047.0,29070.0,3106.0,303213.0,7079.0
-7176.0,297988.0,25159.0,3108.0,303280.0,8037.0
-7174.0,298044.0,28807.0,3105.0,303208.0,7377.0
-7178.0,297983.0,25239.0,3103.0,303260.0,7788.0
-7174.0,298053.0,28274.0,3098.0,303217.0,7668.0
-7178.0,297993.0,25303.0,3105.0,303262.0,7584.0
-7184.0,298037.0,27450.0,3107.0,303225.0,7976.0
-7192.0,297975.0,25290.0,3112.0,303256.0,7319.0
-7182.0,298025.0,26746.0,3108.0,303240.0,8193.0
-7184.0,297969.0,25819.0,3111.0,303243.0,7003.0
-7182.0,298012.0,26302.0,3109.0,303256.0,8346.0
-7183.0,297966.0,26251.0,3110.0,303230.0,6768.0
-7179.0,298000.0,25650.0,3111.0,303269.0,8458.0
-7178.0,297971.0,26914.0,3113.0,303227.0,6542.0
-7174.0,297989.0,25592.0,3115.0,303280.0,8465.0
-7177.0,297974.0,27980.0,3112.0,303214.0,6414.0
-7174.0,297979.0,25666.0,3113.0,303281.0,8482.0
-7174.0,297977.0,28606.0,3112.0,303212.0,6418.0
-7174.0,297974.0,25113.0,3111.0,303293.0,8551.0
-7175.0,297993.0,28421.0,3108.0,303204.0,6554.0
-7177.0,297968.0,24293.0,3110.0,303277.0,8506.0
-7179.0,297998.0,28152.0,3106.0,303192.0,6670.0
-7180.0,297960.0,23845.0,3108.0,303289.0,8345.0
-7182.0,298001.0,28147.0,3105.0,303203.0,6788.0
-7186.0,297958.0,24223.0,3107.0,303280.0,8085.0
-7182.0,298004.0,29329.0,3106.0,303192.0,6909.0
-7187.0,297951.0,26329.0,3112.0,303267.0,7792.0
-7186.0,298008.0,31479.0,3110.0,303201.0,7188.0
-7187.0,297956.0,28695.0,3113.0,303273.0,7665.0
-7185.0,298018.0,33057.0,3110.0,303213.0,7594.0
-7186.0,297954.0,30620.0,3118.0,303250.0,7578.0
-7180.0,298013.0,33966.0,3114.0,303207.0,8031.0
-7181.0,297961.0,31928.0,3118.0,303237.0,7520.0
-7177.0,298010.0,33996.0,3114.0,303217.0,8454.0
-7177.0,297951.0,32666.0,3115.0,303214.0,7451.0
-7176.0,297998.0,33596.0,3112.0,303224.0,8786.0
-7177.0,297947.0,33321.0,3113.0,303212.0,7362.0
-7177.0,297981.0,33370.0,3110.0,303236.0,9036.0
-7179.0,297940.0,34264.0,3112.0,303201.0,7265.0
-7179.0,297968.0,33259.0,3107.0,303243.0,9187.0
-7183.0,297948.0,34995.0,3109.0,303190.0,7200.0
-7182.0,297961.0,32860.0,3110.0,303244.0,9306.0
-7183.0,297970.0,35403.0,3109.0,303178.0,7262.0
-7183.0,297957.0,32328.0,3112.0,303251.0,9394.0
-7182.0,297966.0,35496.0,3111.0,303170.0,7375.0
-7183.0,297955.0,31756.0,3110.0,303253.0,9432.0
-7183.0,297981.0,35432.0,3108.0,303171.0,7579.0
-7185.0,297952.0,31280.0,3112.0,303246.0,9388.0
-7184.0,297983.0,35410.0,3108.0,303164.0,7769.0
-7183.0,297937.0,31260.0,3114.0,303255.0,9253.0
-7183.0,297991.0,35454.0,3112.0,303168.0,7941.0
-7184.0,297941.0,31290.0,3112.0,303258.0,8998.0
-7182.0,297993.0,35442.0,3109.0,303192.0,8145.0
-7183.0,297937.0,31513.0,3115.0,303258.0,8738.0
-7184.0,297991.0,35008.0,3113.0,303195.0,8395.0
-7187.0,297928.0,31465.0,3114.0,303252.0,8439.0
-7184.0,297987.0,34252.0,3107.0,303203.0,8580.0
-7186.0,297930.0,31160.0,3108.0,303228.0,8112.0
-7186.0,297989.0,33092.0,3109.0,303206.0,8769.0
-7186.0,297919.0,31309.0,3111.0,303214.0,7802.0
-7183.0,297970.0,32682.0,3109.0,303215.0,8892.0
-7188.0,297928.0,32058.0,3113.0,303201.0,7505.0
-7189.0,297972.0,32474.0,3112.0,303213.0,9037.0
-7190.0,297940.0,33025.0,3113.0,303187.0,7338.0
-7186.0,297969.0,32293.0,3108.0,303220.0,9180.0
-7187.0,297951.0,33630.0,3105.0,303177.0,7258.0
-7183.0,297967.0,31742.0,3105.0,303230.0,9320.0
-7183.0,297964.0,33914.0,3105.0,303172.0,7274.0
-7183.0,297974.0,31007.0,3107.0,303248.0,9382.0
-7184.0,297979.0,33874.0,3106.0,303172.0,7335.0
-7183.0,297965.0,30300.0,3103.0,303250.0,9386.0
-7187.0,297978.0,33976.0,3100.0,303172.0,7413.0
-7189.0,297937.0,30066.0,3103.0,303260.0,9276.0
-7187.0,297972.0,34158.0,3099.0,303167.0,7515.0
-7189.0,297934.0,29923.0,3101.0,303254.0,9104.0
-7188.0,297974.0,34151.0,3100.0,303169.0,7671.0
-7189.0,297924.0,29882.0,3102.0,303245.0,8892.0
-7190.0,297977.0,33975.0,3094.0,303168.0,7886.0
-7188.0,297932.0,29797.0,3102.0,303246.0,8628.0
-7189.0,297989.0,33486.0,3099.0,303185.0,8128.0
-7192.0,297929.0,29741.0,3104.0,303232.0,8371.0
-7192.0,297986.0,32987.0,3099.0,303185.0,8365.0
-7196.0,297924.0,29982.0,3103.0,303228.0,8109.0
-7194.0,297979.0,32405.0,3103.0,303192.0,8578.0
-7194.0,297928.0,30191.0,3105.0,303228.0,7816.0
-7193.0,297984.0,31719.0,3107.0,303219.0,8787.0
-7194.0,297923.0,30463.0,3105.0,303212.0,7547.0
-7191.0,297973.0,30977.0,3104.0,303212.0,8932.0
-7196.0,297933.0,30876.0,3106.0,303196.0,7310.0
-7194.0,297963.0,30456.0,3103.0,303230.0,9033.0
-7196.0,297934.0,31465.0,3104.0,303184.0,7138.0
-7196.0,297953.0,29922.0,3106.0,303234.0,9083.0
-7199.0,297941.0,31797.0,3104.0,303173.0,7027.0
-7194.0,297952.0,29310.0,3103.0,303238.0,9113.0
-7195.0,297953.0,32034.0,3102.0,303154.0,6991.0
-7194.0,297948.0,28744.0,3104.0,303237.0,9086.0
-7193.0,297963.0,32134.0,3100.0,303150.0,7037.0
-7195.0,297934.0,28232.0,3103.0,303230.0,8994.0
-7195.0,297964.0,32082.0,3102.0,303148.0,7135.0
-7193.0,297934.0,27876.0,3104.0,303231.0,8840.0
-7192.0,297973.0,32003.0,3104.0,303147.0,7284.0
-7192.0,297926.0,27643.0,3107.0,303232.0,8656.0
-7191.0,297973.0,31775.0,3103.0,303150.0,7480.0
-7195.0,297930.0,27546.0,3106.0,303232.0,8414.0
-7198.0,297979.0,31480.0,3101.0,303163.0,7710.0
-7199.0,297918.0,27606.0,3106.0,303223.0,8151.0
-7193.0,297984.0,31110.0,3108.0,303176.0,7954.0
-7197.0,297931.0,27795.0,3103.0,303215.0,7885.0
-7196.0,297987.0,30507.0,3098.0,303172.0,8181.0
-7204.0,297920.0,27920.0,3104.0,303205.0,7596.0
-7200.0,297974.0,29852.0,3103.0,303187.0,8404.0
-7200.0,297921.0,28340.0,3102.0,303190.0,7319.0
-7194.0,297984.0,29359.0,3098.0,303197.0,8578.0
-7199.0,297937.0,28879.0,3099.0,303184.0,7072.0
-7200.0,297968.0,28766.0,3103.0,303213.0,8699.0
-7204.0,297931.0,29261.0,3107.0,303181.0,6894.0
-7196.0,297958.0,28063.0,3100.0,303218.0,8790.0
-7194.0,297942.0,29650.0,3093.0,303151.0,6744.0
-7192.0,297959.0,27577.0,3093.0,303215.0,8830.0
-7192.0,297949.0,30074.0,3095.0,303154.0,6735.0
-7196.0,297950.0,27055.0,3097.0,303226.0,8847.0
-7197.0,297956.0,30216.0,3095.0,303147.0,6763.0
-7194.0,297945.0,26574.0,3099.0,303234.0,8799.0
-7195.0,297971.0,30366.0,3102.0,303152.0,6862.0
-7193.0,297942.0,26292.0,3101.0,303241.0,8698.0
-7192.0,297978.0,30342.0,3095.0,303150.0,7020.0
-7196.0,297935.0,26011.0,3098.0,303236.0,8522.0
-7196.0,297982.0,30190.0,3097.0,303155.0,7172.0
-7199.0,297920.0,25949.0,3100.0,303226.0,8278.0
-7198.0,297971.0,30038.0,3096.0,303146.0,7381.0
-7202.0,297911.0,26057.0,3095.0,303208.0,8019.0
-7204.0,297967.0,29736.0,3096.0,303147.0,7620.0
-7203.0,297906.0,26140.0,3099.0,303201.0,7730.0
-7197.0,297978.0,29071.0,3092.0,303159.0,7858.0
-7197.0,297923.0,26181.0,3093.0,303194.0,7450.0
-7198.0,297972.0,28508.0,3093.0,303170.0,8071.0
-7202.0,297912.0,26708.0,3097.0,303184.0,7138.0
-7201.0,297965.0,28038.0,3094.0,303184.0,8244.0
-7200.0,297920.0,27057.0,3095.0,303179.0,6922.0
-7197.0,297971.0,27193.0,3095.0,303199.0,8424.0
-7200.0,297923.0,27269.0,3095.0,303169.0,6730.0
-7208.0,297949.0,26381.0,3096.0,303207.0,8548.0
-7189.0,297930.0,27438.0,3093.0,303163.0,6591.0
-7193.0,297966.0,25381.0,3096.0,303220.0,8636.0
-7197.0,297954.0,27451.0,3096.0,303153.0,6531.0
-7210.0,297944.0,25071.0,3098.0,303220.0,8625.0
-7195.0,297970.0,28996.0,3094.0,303137.0,6490.0
-7199.0,297965.0,27105.0,3096.0,303220.0,8656.0
-7202.0,297992.0,32420.0,3097.0,303145.0,6753.0
-7204.0,297971.0,30115.0,3099.0,303222.0,8787.0
-7204.0,298001.0,35531.0,3096.0,303130.0,7089.0
-7206.0,297953.0,32347.0,3095.0,303214.0,8853.0
-7207.0,297998.0,37260.0,3095.0,303123.0,7514.0
-7206.0,297954.0,33406.0,3095.0,303204.0,8901.0
-7205.0,298007.0,37755.0,3094.0,303125.0,7946.0
-7204.0,297936.0,33714.0,3096.0,303197.0,8810.0
-7206.0,297978.0,37625.0,3094.0,303128.0,8287.0
-7209.0,297907.0,34030.0,3098.0,303188.0,8630.0
-7206.0,297953.0,37496.0,3096.0,303135.0,8572.0
-7206.0,297890.0,34627.0,3097.0,303176.0,8361.0
-7205.0,297941.0,37314.0,3093.0,303138.0,8805.0
-7207.0,297881.0,35154.0,3094.0,303163.0,8079.0
-7206.0,297941.0,36829.0,3097.0,303160.0,9036.0
-7213.0,297881.0,35503.0,3099.0,303165.0,7855.0
-7213.0,297920.0,36001.0,3100.0,303180.0,9253.0
-7213.0,297865.0,35569.0,3094.0,303128.0,7679.0
-7213.0,297891.0,34955.0,3089.0,303154.0,9419.0
-7214.0,297861.0,35663.0,3091.0,303111.0,7556.0
-7215.0,297876.0,34145.0,3091.0,303161.0,9546.0
-7219.0,297855.0,35994.0,3093.0,303114.0,7486.0
-7219.0,297863.0,33581.0,3095.0,303176.0,9601.0
-7212.0,297862.0,36237.0,3090.0,303102.0,7478.0
-7209.0,297856.0,32983.0,3092.0,303180.0,9600.0
-7212.0,297860.0,36321.0,3093.0,303105.0,7508.0
-7217.0,297839.0,32536.0,3095.0,303185.0,9482.0
-7217.0,297860.0,36321.0,3089.0,303095.0,7596.0
-7215.0,297827.0,31909.0,3089.0,303180.0,9349.0
-7212.0,297873.0,35907.0,3086.0,303098.0,7751.0
-7211.0,297830.0,31349.0,3089.0,303192.0,9144.0
-7216.0,297879.0,35079.0,3087.0,303104.0,7916.0
-7218.0,297826.0,30525.0,3092.0,303181.0,8868.0
-7213.0,297885.0,34492.0,3089.0,303115.0,8090.0
-7216.0,297825.0,30766.0,3091.0,303180.0,8522.0
-7211.0,297891.0,34460.0,3088.0,303121.0,8257.0
-7214.0,297815.0,31303.0,3094.0,303177.0,8181.0
-7210.0,297870.0,34356.0,3090.0,303119.0,8419.0
-7215.0,297813.0,31872.0,3093.0,303153.0,7835.0
-7215.0,297877.0,33828.0,3090.0,303129.0,8614.0
-7216.0,297827.0,32092.0,3090.0,303142.0,7540.0
-7211.0,297877.0,33013.0,3088.0,303150.0,8765.0
-7215.0,297832.0,32308.0,3089.0,303135.0,7293.0
-7213.0,297871.0,32128.0,3088.0,303159.0,8902.0
-7217.0,297835.0,32553.0,3087.0,303119.0,7095.0
-7212.0,297866.0,31429.0,3086.0,303170.0,8974.0
-7219.0,297836.0,32931.0,3087.0,303107.0,6957.0
-7214.0,297850.0,30760.0,3084.0,303163.0,9013.0
-7215.0,297847.0,33066.0,3082.0,303098.0,6898.0
-7217.0,297842.0,29965.0,3083.0,303164.0,8975.0
-7217.0,297853.0,33069.0,3084.0,303081.0,6868.0
-7219.0,297826.0,29385.0,3085.0,303155.0,8874.0
-7219.0,297857.0,33170.0,3083.0,303072.0,6911.0
-7216.0,297834.0,29107.0,3087.0,303161.0,8719.0
-7220.0,297871.0,33262.0,3084.0,303069.0,7014.0
-7222.0,297832.0,28959.0,3087.0,303170.0,8498.0
-7220.0,297880.0,33230.0,3085.0,303081.0,7142.0
-7217.0,297832.0,28885.0,3085.0,303163.0,8223.0
-7215.0,297886.0,32938.0,3081.0,303079.0,7313.0
-7218.0,297836.0,28834.0,3087.0,303151.0,7952.0
-7216.0,297896.0,32503.0,3086.0,303091.0,7510.0
-7218.0,297834.0,28861.0,3088.0,303150.0,7635.0
-7213.0,297902.0,31935.0,3084.0,303104.0,7751.0
-7214.0,297848.0,29003.0,3084.0,303140.0,7329.0
-7211.0,297906.0,31232.0,3082.0,303109.0,7923.0
-7214.0,297848.0,29154.0,3082.0,303126.0,7015.0
-7215.0,297895.0,30452.0,3081.0,303115.0,8078.0
-7215.0,297846.0,29471.0,3083.0,303110.0,6749.0
-7210.0,297901.0,29807.0,3083.0,303125.0,8249.0
-7214.0,297853.0,29936.0,3082.0,303098.0,6527.0
-7211.0,297881.0,29172.0,3083.0,303136.0,8318.0
-7213.0,297857.0,30297.0,3082.0,303085.0,6354.0
-7216.0,297871.0,28441.0,3085.0,303138.0,8376.0
-7218.0,297858.0,30543.0,3086.0,303075.0,6248.0
-7221.0,297862.0,27817.0,3083.0,303144.0,8347.0
-7217.0,297876.0,30729.0,3084.0,303075.0,6218.0
-7215.0,297868.0,27230.0,3083.0,303152.0,8290.0
-7216.0,297885.0,30783.0,3079.0,303070.0,6267.0
-7217.0,297864.0,26773.0,3081.0,303158.0,8191.0
-7217.0,297893.0,30787.0,3078.0,303067.0,6364.0
-7220.0,297846.0,26549.0,3081.0,303152.0,8003.0
-7216.0,297893.0,30838.0,3077.0,303071.0,6505.0
-7218.0,297840.0,26562.0,3078.0,303154.0,7773.0
-7219.0,297891.0,30800.0,3075.0,303071.0,6678.0
-7222.0,297836.0,26667.0,3078.0,303142.0,7527.0
-7223.0,297895.0,30538.0,3078.0,303080.0,6944.0
-7226.0,297832.0,26723.0,3083.0,303136.0,7286.0
-7223.0,297896.0,30059.0,3077.0,303079.0,7246.0
-7225.0,297838.0,26891.0,3076.0,303117.0,7045.0
-7226.0,297895.0,29525.0,3076.0,303092.0,7516.0
-7229.0,297843.0,27252.0,3080.0,303116.0,6815.0
-7222.0,297894.0,28965.0,3076.0,303097.0,7701.0
-7223.0,297838.0,27662.0,3080.0,303105.0,6541.0
-7222.0,297888.0,28323.0,3077.0,303109.0,7912.0
-7225.0,297849.0,28004.0,3078.0,303083.0,6330.0
-7222.0,297885.0,27573.0,3076.0,303107.0,8076.0
-7226.0,297853.0,28317.0,3075.0,303075.0,6215.0
-7223.0,297878.0,26836.0,3077.0,303124.0,8203.0
-7223.0,297867.0,28665.0,3075.0,303071.0,6154.0
-7221.0,297878.0,26295.0,3073.0,303135.0,8299.0
-7225.0,297874.0,28970.0,3075.0,303064.0,6153.0
-7224.0,297871.0,25828.0,3079.0,303134.0,8301.0
-7220.0,297886.0,29224.0,3073.0,303042.0,6214.0
-7224.0,297858.0,25391.0,3072.0,303125.0,8279.0
-7226.0,297882.0,29217.0,3071.0,303041.0,6362.0
-7223.0,297847.0,25088.0,3078.0,303121.0,8177.0
-7220.0,297891.0,29343.0,3075.0,303039.0,6526.0
-7225.0,297846.0,25149.0,3075.0,303125.0,8020.0
-7226.0,297886.0,29416.0,3073.0,303041.0,6731.0
-7229.0,297831.0,25244.0,3078.0,303123.0,7782.0
-7223.0,297894.0,29254.0,3076.0,303049.0,6987.0
-7226.0,297836.0,25308.0,3079.0,303126.0,7535.0
-7226.0,297894.0,28833.0,3074.0,303068.0,7256.0
-7226.0,297838.0,25405.0,3076.0,303113.0,7272.0
-7218.0,297905.0,28192.0,3073.0,303074.0,7466.0
-7223.0,297848.0,25651.0,3073.0,303114.0,6977.0
-7226.0,297898.0,27920.0,3073.0,303085.0,7675.0
-7227.0,297836.0,26586.0,3075.0,303096.0,6672.0
-7223.0,297895.0,27889.0,3073.0,303097.0,7899.0
-7227.0,297854.0,27293.0,3075.0,303081.0,6531.0
-7227.0,297889.0,27182.0,3072.0,303094.0,8200.0
-7230.0,297855.0,27359.0,3074.0,303062.0,6481.0
-7227.0,297888.0,25858.0,3071.0,303094.0,8462.0
-7229.0,297880.0,26817.0,3073.0,303039.0,6498.0
-7228.0,297906.0,24202.0,3073.0,303100.0,8644.0
-7230.0,297889.0,26201.0,3072.0,303033.0,6501.0
-7225.0,297878.0,23356.0,3074.0,303107.0,8634.0
-7227.0,297873.0,27169.0,3070.0,303029.0,6430.0
-7229.0,297849.0,24660.0,3076.0,303115.0,8535.0
-7230.0,297865.0,29744.0,3075.0,303028.0,6528.0
-7230.0,297829.0,27022.0,3076.0,303116.0,8504.0
